,Order Qty,Replenishment LT,LT Offset,Manufacturing LT,Action,SupplyType,Status,Rule,Multi-sourced,Special Demand,Flagged,Item,Description,Part Status,Shortage Date,Part Type Code,Product Family,Material Type,Max Order Qty,Min Order Qty,Multiple order Qty,Container Qty,Phase-in,Phase-out,UOM,Report Field 1,Planner Code,Supplier Code,Order Value,Original Order Qty,On-hand Qty,Excess Qty,Shortage Qty,Planned Receipt,Material,Capacity,RTO Priority,Resource ID,Work Center Code,WC Supplier Code,Ordering Group,Production Version,Supply type,Location,Reference,Settings
154,Not Blank,Greater Than 3,Equals 1 OR Greater Than 5,Equals +1,"('REQUIRESATTENTION', 'REQUIRESAPPROVAL', 'TODO')","('GROUPBY', 'Distributed', 'Purchased')","('GREENFEP', 'RTO', 'GREENVOLUME')","('FLOW', 'RTO', 'TWOBIN')",,,GROUPBY,Contains 'Z',Starts With 'Refrig' OR Contains 'Gadus',GROUPBY,Less Than 9999-12-31,"('GROUPBY', 'BSE', 'D1B')","('GROUPBY', 'YBSE', 'YPCK')",GROUPBY,Greater Than Or Equal 1 AND Less Than Or Equal 10,"In Range (1,10)",Not Blank,Less Than Or Equal 3,Greater Than 2000-01-01,,"('KAR', 'L', 'TO')",Contains 'Z',Blank,P083,Not Blank,,Blank,Equals 6,Equals 5,Less Than 9999-12-31,,"('GROUPBY', 'N/A', 'Not Available')",Equals 1,Contains 'a' AND Contains 'A',Contains 'Z',Contains 'a' AND Contains 'A',Contains 'Z',Contains 'a' AND Contains 'A',"('GROUPBY', 'Manufactured', 'Distributed')","('I340', 'I324', 'G081')",,Starts With 'LOC' AND Contains 'ITEM'
155,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals -1,Greater Than Or Equal 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,"('REQUIRESRELEASE', 'REQUIRESAPPROVAL', 'POSTPONED')",,"('BLUEFLOW', 'REDFEP', 'GREENVOLUME')","('FLOW', 'RTO', 'TWOBIN')",true,false,false,,Contains 'Omala',02,,"('BSE', 'FP1', 'GPF')","('YBLU', 'YINT', 'YNOP')","('GROUPBY', 'E', 'F')",Blank,Greater Than Or Equal 1 AND Less Than Or Equal 10,Not Blank,Blank,Less Than 9999-12-31,Blank,"('GROUPBY', 'EA', 'L')",Contains 'a' AND Contains 'A',Less Than 3,"('R037', 'I480', 'I353')","In Range (1,10)",Not Equals 3,"In Range (1,10)",Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 1 OR Greater Than 5,Greater Than 2000-01-01,"('GROUPBY', 'NA', 'No')",Available,Greater Than 3,,,Starts With 'Z',Starts With 'Z',,Manufactured,"('I389', 'I351', 'G081')",,Contains 'Z'
156,Equals 1 OR Greater Than 5,Less Than 999999999999999999999999999999999999999,Equals 1,Less Than 3,"('REQUIRESRELEASE', 'REQUIRESAPPROVAL', 'TODO')",Purchased,GREENVOLUME,"('FLOW', 'CYCLIC', 'MANUAL')",,,true,Starts With '5500',Starts With 'Refrig' OR Contains 'Gadus',,Greater Than 2000-01-01,"('GROUPBY', 'FPE', 'LBL')","('YBLU', 'YINT', 'YPAC')",F,Equals ABCDEF,,Equals 1,Greater Than 3,Less Than 999999-12-31,Less Than 9999-12-31,"('EA', 'KAR', 'KG')",Contains 'a' AND Contains 'A',Equals 1 OR Greater Than 5,T124,Equals 6,Equals ABCDEF,,Equals 6,Equals 1 OR Equals 5,Less Than 9999-12-31,"('GROUPBY', 'Yes', 'No')","('GROUPBY', 'Available', 'N/A')",Greater Than Or Equal 3,Contains 'Z',Ends With 'Z',Starts With 'Z',,Contains 'Z',"('GROUPBY', 'Manufactured', 'Distributed')","('GROUPBY', 'U022', 'C311')",,Starts With 'LOC' AND Contains 'ITEM'
157,Not Equals 3,Equals 1,Greater Than Or Equal 3,Equals 1 OR Greater Than 5,"('GROUPBY', 'POSTPONED', 'REJECTED')",Manufactured,"('REDFEP', 'YELLOWVOLUME', 'BLUEVOLUME')","('BUFFER', 'CYCLIC', 'LOW')",,GROUPBY,GROUPBY,Contains 'a' AND Contains 'A',Contains 'Z',,,"('GROUPBY', 'D1P', 'FBF')","('GROUPBY', 'YPAC', 'YPCK')","('GROUPBY', 'E', 'F')",,Blank,Equals 5,Equals 6,Greater Than 2000-01-01 AND Less Than 9999-12-31,Less Than 9999-12-31,"('GROUPBY', 'EA', 'KAR')",Contains 'a' OR Contains 'A',Equals 1,"('GROUPBY', 'I480', 'I353')",Greater Than Or Equal 3,Less Than Or Equal 3,Equals 5,Equals 5,Equals 1 OR Equals 5,Not Blank,No,"('GROUPBY', 'Not Available', 'Partially Available')","In Range (1,10)",,Contains 'Z',Starts With 'Z',Starts With 'Z',,"('GROUPBY', 'Purchased', 'Manufactured')","('I477', 'P082', 'C604')",Contains 'a' OR Contains 'A',Contains 'a' OR Contains 'A'
158,Blank,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 1 OR Greater Than 5,Blank,"('REQUIRESATTENTION', 'REQUIRESRELEASE', 'POSTPONED')","('GROUPBY', 'Manufactured', 'Distributed')","('GREENFLOW', 'GREENFEP', 'RTO')","('FLOW', 'BUFFER', 'MANUAL')",true,,false,Contains 'Z',Ends With 'Z',02,Equals '2022-02-28' OR Blank,"('FBR', 'FPE', 'PRE')",YRAW,,,"In Range (1,10)",Less Than Or Equal 3,Greater Than Or Equal 3,,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('EA', 'KG', 'L')",Contains 'Z',Equals same value as in table,"('GROUPBY', 'T124', 'P083')",Equals 1 OR Greater Than 5,Greater Than Or Equal 3,Equals ABCDEF,Equals 1 OR Equals 5,Less Than 3,,NA,Available,Greater Than Or Equal 3,Ends With 'Z',Contains 'a' OR Contains 'A',Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',Starts With 'Z',"('Purchased', 'Manufactured', 'Distributed')","('I411', 'I351', 'T804')",Contains 'a' OR Contains 'A',
159,Greater Than Or Equal 3,"In Range (1,10)",Less Than 3,Equals 1 OR Equals 5,REQUIRESAPPROVAL,GROUPBY,"('YELLOWFLOW', 'GREENFLOW', 'YELLOWVOLUME')","('BUFFER', 'LOW', 'FEP')",false,false,GROUPBY,Contains '24',Contains 'Z',GROUPBY,Less Than 9999-12-31,"('APZ', 'BST', 'NOF')",YINT,,Less Than 3,Greater Than 3,Equals ABCDEF,Equals ABCDEF,Blank,Less Than 999999-12-31,"('KG', 'L', 'UG6')",Contains 'a' OR Contains 'A',Less Than Or Equal 3,"('T124', 'R037', 'P083')",Equals 1 OR Greater Than 5,Less Than 3,Greater Than 3,Equals 6,Less Than Or Equal 3,Greater Than 2000-01-01,"('GROUPBY', 'Yes', 'No')","('GROUPBY', 'N/A', 'Not Available')",Less Than 3,Ends With 'Z',Contains 'Z',Ends With 'Z',Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',Manufactured,"('GROUPBY', 'I389', 'I339')",Contains 'a' OR Contains 'A',
160,Less Than 3,Equals +1,"In Range (1,10)",Equals same value as in table,"('REQUIRESATTENTION', 'REQUIRESRELEASE', 'REJECTED')",Distributed,"('GROUPBY', 'GREENFLOW', 'BLUEFLOW')","('CYCLIC', 'LOW', 'TWOBIN')",GROUPBY,false,GROUPBY,Ends With '9',Starts With 'Omala' AND Contains 'S4',05,Less Than 999999-12-31,"('ADP', 'FP2', 'IBC')","('GROUPBY', 'YNOP', 'YPCK')","('GROUPBY', 'E', 'F')",Equals 1 OR Greater Than 5,Equals ABCDEF,Greater Than Or Equal 3,Not Blank,Not Blank,Not Blank,"('EA', 'KAR', 'L')",Contains 'a' OR Contains 'A',Equals +1,"('GROUPBY', 'T124', 'I353')",Less Than 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,Less Than Or Equal 3,Not Blank,Greater Than Or Equal 3,Blank,No,Available,Equals 1,Ends With 'Z',Contains 'a' OR Contains 'A',Starts With 'Z',Ends With 'Z',Starts With 'Z',Manufactured,"('GROUPBY', 'I349', 'I486')",Ends With 'Z',Contains 'a' OR Contains 'A'
161,Less Than 3,Blank,,Greater Than Or Equal 3,"('GROUPBY', 'REQUIRESAPPROVAL', 'RELEASED')","('GROUPBY', 'Distributed', 'Purchased')","('REDFLOW', 'GREENFEP', 'REDVOLUME')","('BUFFER', 'CYCLIC', 'FEP')",true,true,GROUPBY,,Contains 'a' AND Contains 'A',02,Equals '2022-02-28',"('GPF', 'LBL', 'PKG')","('YBLU', 'YNOP', 'YRAW')",F,"In Range (1,10)",Less Than Or Equal 3,Not Blank,Greater Than Or Equal 3,Greater Than 2000-01-01,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('KG', 'L', 'UG6')",Contains 'Z',Less Than Or Equal 3,"('GROUPBY', 'R037', 'I353')",Equals 1 OR Equals 5,Less Than Or Equal 3,Blank,Equals 1,"In Range (1,10)",Blank,"('NA', 'Yes', 'No')","('GROUPBY', 'Available', 'Not Available')",Greater Than 3,Starts With 'Z',Starts With 'Z',Starts With 'Z',Contains 'a' OR Contains 'A',Ends With 'Z',Distributed,"('I340', 'T804', 'U022')",Ends With 'Z',Starts With 'LOC'
162,Blank,Blank,Equals 1 OR Greater Than 5,Equals 1 OR Greater Than 5,"('RELEASED', 'POSTPONED', 'TODO')","('GROUPBY', 'Manufactured', 'Distributed')","('YELLOWFLOW', 'REDFEP', 'REDVOLUME')","('BUFFER', 'LOW', 'FEP')",,true,true,Starts With '5500',Ends With 'Z',02,Less Than 9999-12-31,"('FP2', 'FPC', 'PRL')","('YBLU', 'YBSE', 'YPAC')",GROUPBY,,"In Range (1,10)",Equals 6,Less Than 3,Blank,,"('KG', 'L', 'SKU')",Ends With 'Z',Not Equals 3,"('R037', 'I480', 'I353')",Not Equals 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 6,Not Blank,Not Blank,Less Than 999999-12-31,Yes,GROUPBY,Greater Than Or Equal 1 AND Less Than Or Equal 10,Ends With 'Z',Ends With 'Z',,,,"('GROUPBY', 'Purchased', 'Manufactured')","('GROUPBY', 'I389', 'I337')",Contains 'a' AND Contains 'A',Starts With 'Z'
163,,Less Than Or Equal 3,Not Blank,Equals +1,"('REQUIRESRELEASE', 'REQUIRESAPPROVAL', 'RELEASED')",Purchased,"('REDFLOW', 'GREENFLOW', 'RTO')","('LOW', 'TWOBIN', 'MANUAL')",,false,false,Ends With '9',Ends With 'Z',02,Less Than 999999-12-31,"('ADP', 'APZ', 'NOF')",YINT,,Equals 1 OR Greater Than 5,Not Blank,Greater Than Or Equal 3,Not Equals 3,,,"('EA', 'KG', 'TO')",Starts With 'Z',Less Than 9223372036854775807,"('GROUPBY', 'R037', 'I353')",Blank,Greater Than Or Equal 1 AND Less Than Or Equal 10,Not Blank,Greater Than Or Equal 3,,Blank,"('GROUPBY', 'Yes', 'No')",N/A,Less Than 3,Contains 'a' OR Contains 'A',,Contains 'Z',Starts With 'Z',Contains 'a' AND Contains 'A',Distributed,"('GROUPBY', 'I324', 'I009')",Contains 'a' OR Contains 'A',Starts With 'LOC' AND Contains 'ITEM'
164,Greater Than Or Equal 1 AND Less Than Or Equal 10,Not Equals 3,Greater Than Or Equal 3,Equals 1,"('GROUPBY', 'REQUIRESATTENTION', 'REJECTED')",Manufactured,"('RTO', 'GREENVOLUME', 'BLUEVOLUME')","('GROUPBY', 'CYCLIC', 'LOW')",true,false,true,Contains '4' AND Contains '2',Starts With 'Omala' OR Starts With 'Corena',GROUPBY,Less Than 9999-12-31,"('BTV', 'FPC', 'FPF')","('GROUPBY', 'YINT', 'YPAC')","('GROUPBY', 'E', 'F')",Equals 1 OR Equals 5,"In Range (1,10)",Not Equals 3,Greater Than 3,Greater Than 2000-01-01 AND Less Than 9999-12-31,Less Than 9999-12-31,"('EA', 'KAR', 'UG6')",Ends With 'Z',Less Than 999999999999999999999999999999999999999,"('GROUPBY', 'R037', 'P083')",Greater Than Or Equal 3,Not Blank,Equals 1,Greater Than Or Equal 1 AND Less Than Or Equal 10,Less Than 3,Less Than 999999-12-31,"('GROUPBY', 'Yes', 'No')","('GROUPBY', 'Available', 'Not Available')",Not Blank,,Ends With 'Z',,Starts With 'Z',Ends With 'Z',"('GROUPBY', 'Manufactured', 'Distributed')","('T804', 'I009', 'C311')",Contains 'a' OR Contains 'A',
165,,Equals 'ABCDEF',Equals -1,Greater Than 3,"('REQUIRESATTENTION', 'REQUIRESAPPROVAL', 'POSTPONED')",,"('REDFLOW', 'YELLOWVOLUME', 'GREENVOLUME')","('RTO', 'FEP', 'MANUAL')",false,,false,Contains '4' AND Contains '2',Contains 'Omala',"('GROUPBY', '02', '05')",Blank,"('APZ', 'D1P', 'NOF')","('GROUPBY', 'YNOP', 'YPCK')",F,Equals 5,Equals 6,Not Blank,,Not Blank,Not Blank,"('EA', 'L', 'SKU')",,Equals 1 OR Equals 5,"('GROUPBY', 'R037', 'I353')",Greater Than Or Equal 1 AND Less Than Or Equal 10,Less Than Or Equal 3,Equals 6,Not Blank,Not Blank,Blank,GROUPBY,"('Available', 'Not Available', 'Partially Available')",Greater Than Or Equal 3,Contains 'a' OR Contains 'A',Starts With 'Z',Contains 'a' OR Contains 'A',Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',"('GROUPBY', 'Manufactured', 'Distributed')","('I335', 'I477', 'R175')",Starts With 'SHELL',Contains 'Z'
166,Greater Than 3,Not Equals 3,Not Equals 3,Equals 1,"('RELEASED', 'TODO', 'REJECTED')",,"('BLUEFLOW', 'GREENFEP', 'GREENVOLUME')","('FLOW', 'CYCLIC', 'TWOBIN')",true,GROUPBY,false,,Ends With 'Z',,,"('FPF', 'LBL', 'NOF')","('YBSE', 'YPAC', 'YNOP')",E,Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than Or Equal 3,Less Than Or Equal 3,Equals 5,Less Than 9999-12-31,Less Than 9999-12-31,"('KAR', 'LB', 'SKU')",Contains 'a' OR Contains 'A',Less Than 999999999999999999999999999999999999999,"('GROUPBY', 'I480', 'I353')",Not Blank,Blank,Equals 6,,Blank,Less Than 9999-12-31,No,"('GROUPBY', 'N/A', 'Partially Available')",Equals 6,Starts With 'Z',Contains 'Z',Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',Contains 'Z',"('GROUPBY', 'Manufactured', 'Distributed')","('I389', 'I335', 'R175')",Starts With 'SHELL' AND Ends With '3',
167,Equals 1,Greater Than Or Equal 1 AND Less Than Or Equal 10,Less Than Or Equal 3,Greater Than Or Equal 3,"('GROUPBY', 'REQUIRESATTENTION', 'TODO')","('GROUPBY', 'Manufactured', 'Purchased')","('GREENFEP', 'REDVOLUME', 'YELLOWVOLUME')","('GROUPBY', 'LOW', 'MANUAL')",false,true,GROUPBY,Contains '4' AND Contains '2',Contains 'a' OR Contains 'A',02,Equals '2022-02-28' OR Equals '2022-03-02',"('DRM', 'LBL', 'NOF')",YRAW,F,Greater Than Or Equal 1 AND Less Than Or Equal 10,Blank,Greater Than 3,Greater Than 3,Less Than 999999-12-31,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('GROUPBY', 'KG', 'SKU')",Starts With 'Z',Greater Than Or Equal 3,"('GROUPBY', 'T124', 'P083')",Equals 1 OR Greater Than 5,Equals 1 OR Equals 5,"In Range (1,10)",Not Equals 3,Less Than Or Equal 3,Less Than 999999-12-31,No,"('GROUPBY', 'N/A', 'Partially Available')","In Range (1,10)",Contains 'a' AND Contains 'A',Ends With 'Z',Contains 'Z',Contains 'Z',Contains 'Z',"('GROUPBY', 'Purchased', 'Distributed')","('GROUPBY', 'I351', 'T804')",Starts With 'Z',Starts With 'LOC'
168,Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than 3,Not Blank,Equals -1,"('REQUIRESATTENTION', 'RELEASED', 'POSTPONED')",Purchased,"('BLUEFLOW', 'REDVOLUME', 'GREENVOLUME')","('GROUPBY', 'CYCLIC', 'LOW')",GROUPBY,false,,Ends With 'Z',Starts With 'Omala' AND Contains 'S4',05,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('GROUPBY', 'BST', 'PRL')","('YBLU', 'YBSE', 'YPCK')",GROUPBY,"In Range (1,10)",Equals 6,,Greater Than Or Equal 1 AND Less Than Or Equal 10,Less Than 9999-12-31,Greater Than 2000-01-01,"('GROUPBY', 'KAR', 'LB')",Starts With 'Z',Less Than 999999999999999999999999999999999999999,I480,"In Range (1,10)",Equals 1 OR Equals 5,Equals ABCDEF,Less Than Or Equal 3,Not Blank,Less Than 9999-12-31,Yes,"('GROUPBY', 'Available', 'Not Available')",Equals 1,Starts With 'Z',Contains 'Z',,Starts With 'Z',Contains 'Z',,"('GROUPBY', 'R175', 'C311')",Contains 'a' OR Contains 'A',Ends With 'Z'
169,Equals ABCDEF,Not Blank,Equals same value as in table,Equals 1 OR Equals 5,"('GROUPBY', 'RELEASED', 'REJECTED')",,"('GREENFEP', 'REDFEP', 'GREENVOLUME')","('GROUPBY', 'FLOW', 'MANUAL')",false,false,true,Contains 'a' AND Contains 'A',Starts With 'Refrig' OR Contains 'Gadus',"('GROUPBY', '02', '05')",Blank,"('BST', 'FBR', 'IBC')","('GROUPBY', 'YBSE', 'YRAW')",GROUPBY,Equals 5,Less Than Or Equal 3,Equals 6,Equals 1 OR Greater Than 5,Less Than 9999-12-31,Greater Than 2000-01-01,"('EA', 'L', 'UG6')",Contains 'a' OR Contains 'A',Blank,"('T124', 'I480', 'I353')",Equals 1 OR Equals 5,Equals 1 OR Equals 5,"In Range (1,10)",Equals 1,Not Blank,,"('NA', 'Yes', 'No')",Available,Greater Than Or Equal 1 AND Less Than Or Equal 10,Contains 'a' OR Contains 'A',,Contains 'a' OR Contains 'A',,Starts With 'Z',"('GROUPBY', 'Manufactured', 'Distributed')","('I337', 'I486', 'T804')",Contains 'Z',Contains 'a' AND Contains 'A'
170,Not Equals 3,Less Than 999999999999999999999999999999999999999,Less Than 9223372036854775807,Equals 'ABCDEF',"('GROUPBY', 'RELEASED', 'TODO')","('Manufactured', 'Distributed', 'Purchased')",GREENVOLUME,"('BUFFER', 'LOW', 'TWOBIN')",false,GROUPBY,GROUPBY,Contains '24',,"('GROUPBY', '02', '05')",Less Than 999999-12-31,"('D1B', 'MTO', 'NOF')","('GROUPBY', 'YINT', 'YPCK')",,Equals 6,Equals 1 OR Equals 5,Not Blank,Equals 1,Less Than 999999-12-31,,"('KG', 'L', 'UG6')",Contains 'a' OR Contains 'A',Equals 1 OR Equals 5,"('GROUPBY', 'P083', 'I480')",Equals 1 OR Greater Than 5,Not Blank,Equals 1 OR Equals 5,Equals 1,Not Equals 3,Less Than 999999-12-31,"('GROUPBY', 'Yes', 'No')",Not Available,Greater Than 3,,Ends With 'Z',Ends With 'Z',Starts With 'Z',Starts With 'Z',Purchased,"('I349', 'P082', 'I009')",Starts With 'SHELL' AND Ends With '3',Starts With 'LOC' AND Contains 'ITEM'
171,Equals 1 OR Equals 5,Equals 1 OR Greater Than 5,Less Than 9223372036854775807,Less Than 999999999999999999999999999999999999999,"('REQUIRESAPPROVAL', 'RELEASED', 'REJECTED')",Purchased,"('GROUPBY', 'RTO', 'BLUEVOLUME')","('BUFFER', 'RTO', 'MANUAL')",true,,false,Starts With '5500',Contains 'Z',GROUPBY,Less Than 999999-12-31,"('BSE', 'D1B', 'PWD')","('YBLU', 'YINT', 'YPAC')",F,Greater Than 3,Equals 6,Greater Than Or Equal 3,Equals 1 OR Equals 5,Less Than 999999-12-31,Less Than 999999-12-31,"('GROUPBY', 'EA', 'L')",,Blank,"('P083', 'I480', 'I353')",Greater Than Or Equal 3,Not Equals 3,Equals 5,Equals ABCDEF,Equals 1,Not Blank,Yes,"('GROUPBY', 'Available', 'Not Available')",Blank,Contains 'Z',Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',Ends With 'Z',Contains 'a' OR Contains 'A',"('GROUPBY', 'Purchased', 'Distributed')","('I324', 'P082', 'R175')",Ends With 'Z',Ends With 'Z'
172,Equals 1,Equals -1,Greater Than 3,Equals 1,"('GROUPBY', 'REQUIRESAPPROVAL', 'RELEASED')",GROUPBY,"('YELLOWFLOW', 'REDFEP', 'REDVOLUME')","('BUFFER', 'RTO', 'TWOBIN')",GROUPBY,,false,Contains '4' AND Contains '2',Starts With 'Omala' AND Contains 'S4',02,Equals '2022-02-28' OR Blank,"('APZ', 'BSE', 'FPC')","('YBLU', 'YPAC', 'YPCK')",,Less Than Or Equal 3,Equals 1 OR Greater Than 5,Greater Than Or Equal 1 AND Less Than Or Equal 10,Not Blank,Less Than 999999-12-31,Greater Than 2000-01-01,"('EA', 'KG', 'L')",Contains 'a' AND Contains 'A',Not Equals 3,"('GROUPBY', 'T124', 'R037')",Equals 5,Greater Than Or Equal 3,Equals 5,Less Than 3,,Not Blank,Yes,Available,Greater Than 3,Starts With 'Z',Contains 'a' OR Contains 'A',,Contains 'Z',Contains 'Z',,"('I335', 'I009', 'C604')",Ends With 'Z',
173,Greater Than 3,Greater Than 3,Equals -1,Blank,"('GROUPBY', 'RELEASED', 'POSTPONED')","('GROUPBY', 'Manufactured', 'Purchased')","('GREENFLOW', 'RTO', 'REDVOLUME')","('GROUPBY', 'CYCLIC', 'FEP')",GROUPBY,false,false,Starts With 'Z',Contains 'Omala',05,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('ADP', 'FP2', 'FPC')","('YBLU', 'YPAC', 'YNOP')",GROUPBY,Less Than 3,Greater Than Or Equal 3,Equals 6,Not Blank,Less Than 999999-12-31,,"('EA', 'KAR', 'LB')",Contains 'Z',Greater Than Or Equal 3,"('GROUPBY', 'R037', 'I480')",Blank,Equals 6,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 1,Equals 6,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('GROUPBY', 'NA', 'No')","('Available', 'N/A', 'Partially Available')",Equals 1 OR Equals 5,Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',Starts With 'Z',,Contains 'a' AND Contains 'A',Manufactured,"('GROUPBY', 'I349', 'I009')",Starts With 'SHELL',Contains 'Z'
174,Less Than 3,Equals 1,"In Range (1,10)",Not Equals 3,"('REQUIRESRELEASE', 'REQUIRESAPPROVAL', 'REJECTED')","('GROUPBY', 'Distributed', 'Purchased')","('GROUPBY', 'YELLOWVOLUME', 'GREENVOLUME')","('FLOW', 'RTO', 'FEP')",false,false,false,Starts With 'Z',Contains 'Z',,Equals '2022-02-28' OR Blank,"('GROUPBY', 'DRM', 'FPC')","('GROUPBY', 'YPAC', 'YPCK')","('GROUPBY', 'E', 'F')",Equals 1 OR Greater Than 5,Greater Than Or Equal 1 AND Less Than Or Equal 10,"In Range (1,10)",Less Than 3,Less Than 9999-12-31,Blank,"('GROUPBY', 'KG', 'UG6')",Starts With 'Z',Not Equals 3,"('GROUPBY', 'T124', 'R037')",Not Equals 3,Blank,Greater Than Or Equal 3,Blank,,Not Blank,"('GROUPBY', 'NA', 'Yes')","('GROUPBY', 'Available', 'Partially Available')",Equals 1 OR Equals 5,Ends With 'Z',Contains 'Z',Contains 'Z',,Contains 'Z',Manufactured,"('I411', 'I335', 'C311')",,
175,Equals 6,Greater Than Or Equal 1 AND Less Than Or Equal 10,Not Equals 3,Less Than Or Equal 3,"('POSTPONED', 'TODO', 'REJECTED')",Distributed,"('GREENFLOW', 'RTO', 'GREENVOLUME')","('BUFFER', 'CYCLIC', 'RTO')",GROUPBY,,,Contains '4' AND Contains '2',Contains 'Z',02,Not Blank,"('FBE', 'NOF', 'PRE')",YPAC,GROUPBY,Equals ABCDEF,,Equals ABCDEF,Less Than 3,Not Blank,Less Than 9999-12-31,"('GROUPBY', 'LB', 'TO')",Starts With 'Z',Not Blank,I353,Blank,Blank,"In Range (1,10)",Equals 1 OR Greater Than 5,Equals 5,,,GROUPBY,Blank,,Starts With 'Z',Contains 'Z',Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',,"('I349', 'I339', 'I337')",Contains 'a' OR Contains 'A',Starts With 'LOC' AND Contains 'ITEM'
176,Less Than Or Equal 3,Equals 1 OR Equals 5,Equals 1,Less Than 9223372036854775807,"('REQUIRESATTENTION', 'REQUIRESRELEASE', 'POSTPONED')",,"('REDFLOW', 'RTO', 'YELLOWVOLUME')","('GROUPBY', 'BUFFER', 'RTO')",false,false,,Contains 'Z',Starts With 'Refrig' OR Contains 'Gadus',,Blank,D1P,YBLU,,"In Range (1,10)",,Less Than 3,Equals 6,,Not Blank,"('KAR', 'KG', 'L')",Contains 'Z',Greater Than 3,"('GROUPBY', 'R037', 'I480')",Not Blank,Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 1 OR Greater Than 5,Greater Than Or Equal 1 AND Less Than Or Equal 10,Less Than 999999-12-31,No,"('GROUPBY', 'Available', 'N/A')",Equals 1 OR Equals 5,,Ends With 'Z',Contains 'Z',Contains 'Z',Contains 'a' AND Contains 'A',"('GROUPBY', 'Purchased', 'Manufactured')","('I411', 'I339', 'I009')",Starts With 'SHELL',Contains 'a' OR Contains 'A'
177,Equals ABCDEF,Less Than 999999999999999999999999999999999999999,Equals 1 OR Greater Than 5,Equals 1 OR Greater Than 5,,"('GROUPBY', 'Distributed', 'Purchased')","('REDFLOW', 'BLUEFLOW', 'REDVOLUME')",LOW,,,,Ends With '9',Ends With 'Z',,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('APZ', 'FBF', 'MTO')","('YBSE', 'YNOP', 'YRAW')",E,Equals 1 OR Equals 5,Less Than 3,Greater Than Or Equal 3,Equals 1 OR Greater Than 5,Blank,,"('L', 'TO', 'UG6')",Starts With 'Z',Less Than 999999999999999999999999999999999999999,"('T124', 'R037', 'I480')",Greater Than 3,Greater Than 3,Greater Than Or Equal 3,Equals 5,Equals 1 OR Equals 5,Blank,GROUPBY,N/A,"In Range (1,10)",,Starts With 'Z',,,Starts With 'Z',GROUPBY,"('I335', 'I477', 'I486')",Contains 'a' OR Contains 'A',Contains 'Z'
178,,Equals +1,Greater Than 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,REQUIRESAPPROVAL,Purchased,"('GREENFLOW', 'GREENFEP', 'BLUEVOLUME')","('LOW', 'FEP', 'TWOBIN')",GROUPBY,true,GROUPBY,Contains 'Z',Starts With 'Z',"('GROUPBY', '02', '05')",,"('GPF', 'PRE', 'PWD')","('YBLU', 'YBSE', 'YINT')",GROUPBY,Not Equals 3,Blank,"In Range (1,10)",Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than 2000-01-01,Less Than 999999-12-31,"('L', 'LB', 'UG6')",Contains 'Z',Less Than 9223372036854775807,T124,Equals 1 OR Equals 5,,Equals 1 OR Greater Than 5,Greater Than 3,,Greater Than 2000-01-01 AND Less Than 9999-12-31,NA,"('GROUPBY', 'N/A', 'Not Available')",Less Than 3,Starts With 'Z',,Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',Ends With 'Z',Distributed,"('I389', 'I009', 'C604')",Contains 'Z',Contains 'a' AND Contains 'A'
